Id,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1,2023-05,Alabama,10733,92,17565,9949,1179,964,0,6,5,0,2051,817,9,54,1,0,0,0,30,21,12,1,2,0,43491
2,2023-05,Alaska,185,10,3115,2346,294,229,0,0,0,0,137,72,1,19,11,0,0,0,1,0,0,0,0,0,6420
3,2023-05,Arizona,11852,1283,16609,8057,1550,1023,0,9,1,0,1097,363,6,211,22,0,0,0,6,2,0,1,0,0,42092
4,2023-05,Arkansas,2697,79,6456,4327,405,394,8,5,5,2,942,690,1,0,0,0,0,0,5,7,1,0,0,0,16024
5,2023-05,California,25144,18395,34421,21695,4841,1,0,0,2,0,613,327,35,1864,899,117,0,0,7763,3190,565,19,7,0,119898
6,2023-05,Colorado,9246,11,18190,11014,1574,1682,0,0,0,0,0,0,0,303,30,0,0,0,0,0,0,0,0,0,42050
7,2023-05,Connecticut,7292,629,4991,1776,1779,0,1,0,0,0,0,0,0,0,0,0,0,0,436,155,134,0,0,0,17193
8,2023-05,Delaware,984,0,2470,778,87,91,0,0,0,0,26,3,0,87,0,1,0,0,70,11,1,1,0,0,4610
9,2023-05,District of Columbia,895,1,355,5,0,2,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1277
10,2023-05,Florida,12457,0,61383,21861,4709,3189,0,6,6,0,3421,832,10,1471,119,0,0,0,285,158,51,44,36,0,110038
11,2023-05,Georgia,13018,0,17312,7429,857,753,1,21,5,0,2090,705,17,81,0,0,0,0,13,2,1,0,0,0,42305
12,2023-05,Guam,0,0,113,64,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
13,2023-05,Hawaii,2282,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2287
14,2023-05,Idaho,7179,136,5047,4681,590,322,0,0,4,0,284,257,3,88,21,0,0,0,7,10,2,0,1,0,18632
15,2023-05,Illinois,341541,0,23805,11014,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377463
16,2023-05,Indiana,398,26309,18327,10110,1464,916,0,2,2,0,734,264,26,61,6,0,0,0,22,15,3,2,1,0,58662
17,2023-05,Iowa,3861,3063,2236,1939,136,74,2,0,0,0,22,25,1,60,10,1,0,0,2,0,0,0,0,0,11432
18,2023-05,Kansas,2034,4,5434,3993,535,349,0,4,0,0,421,178,2,109,28,1,0,0,3,3,3,0,0,0,13101
19,2023-05,Kentucky,790,317915,9498,6426,502,580,7,10,3,0,1464,739,3,42,5,0,0,0,11,11,2,0,1,0,338009
20,2023-05,Louisiana,2291,493,10189,5502,681,587,0,7,2,0,794,416,11,0,0,0,0,0,11,7,2,2,0,0,20995
21,2023-05,Maine,482,10,3398,3030,273,241,2,1,0,0,71,50,0,34,13,1,0,0,8,5,2,1,0,0,7622
22,2023-05,Mariana Islands,0,0,17,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
23,2023-05,Maryland,8767,50,11070,5267,109,5,0,4,0,0,89,67,1,107,26,4,0,0,0,8,8,0,0,1,25583
24,2023-05,Massachusetts,8918,1,4567,2330,1095,230,6,0,0,1,8,13,2,2,0,0,0,0,23,19,7,0,0,0,17222
25,2023-05,Michigan,18254,6410,18504,12622,1673,808,0,0,1,0,15,198,2,79,23,1,0,0,27,16,2,1,0,0,58636
26,2023-05,Minnesota,15261,34442,9207,8339,913,577,0,2,2,0,159,182,2,108,17,0,0,0,7,19,1,0,0,0,69238
27,2023-05,Mississippi,2849,0,7790,4296,375,385,0,7,2,0,1438,576,8,19,0,0,0,0,9,0,0,1,0,0,17755
28,2023-05,Missouri,797,123,17012,11619,1610,1116,0,5,1,1,1181,542,19,434,39,2,0,0,28,17,3,2,2,0,34553
